Alloy name,Ag,Al,B,C,Ca,Co,Cr,Cu,Fe,Ga,Hf,Li,Mg,Mn,Mo,Nb,Nd,Ni,Pd,Re,Sc,Si,Sn,Ta,Ti,V,W,Y,Zn,Zr
Al0.278 Co0.556 Cr0.556 Cu0.556 Fe0.556 Ni0.556 V1,,0.069,,,,0.137,0.137,0.137,0.137,,,,,,,,,0.137,,,,,,,,0.246,,,,
Al0.25 Co0.5 Cr0.5 Cu0.5 Fe0.5 Ni0.5 V1,,0.067,,,,0.133,0.133,0.133,0.133,,,,,,,,,0.133,,,,,,,,0.267,,,,
Al1 Co1 Cr1 Cu1 Fe1 Ni1,,0.167,,,,0.167,0.167,0.167,0.167,,,,,,,,,0.167,,,,,,,,,,,,
Al1 Co1 Cu1 Fe1 Nd1 Ni1,,0.167,,,,0.167,,0.167,0.167,,,,,,,,0.167,0.167,,,,,,,,,,,,
Al1 Co1 Cu1 Fe1 Ni1,,0.2,,,,0.2,,0.2,0.2,,,,,,,,,0.2,,,,,,,,,,,,
Al1 Co1 Cu1 Fe1 Ni1 Si1,,0.167,,,,0.167,,0.167,0.167,,,,,,,,,0.167,,,,0.167,,,,,,,,
Al1 Co1 Cu1 Fe1 Ni1 Ti1,,0.167,,,,0.167,,0.167,0.167,,,,,,,,,0.167,,,,,,,0.167,,,,,
Al1 Co1 Cu1 Fe1 Ni1 Zr1,,0.167,,,,0.167,,0.167,0.167,,,,,,,,,0.167,,,,,,,,,,,,0.167
Al1 Co1 Cr1 Cu1 Fe1 Mn1 Ni1,,0.143,,,,0.143,0.143,0.143,0.143,,,,,0.143,,,,0.143,,,,,,,,,,,,
Al1 Co1 Cr1 Cu1 Fe1 Ni1 Ti1,,0.143,,,,0.143,0.143,0.143,0.143,,,,,,,,,0.143,,,,,,,0.143,,,,,
Al1 Co1 Cr1 Cu1 Fe1 Ni1 V1,,0.143,,,,0.143,0.143,0.143,0.143,,,,,,,,,0.143,,,,,,,,0.143,,,,
Al1 Co1 Cr1 Cu1 Ni1 Ti1,,0.167,,,,0.167,0.167,0.167,,,,,,,,,,0.167,,,,,,,0.167,,,,,
Al1 Co1 Cr1 Cu1 Ni1 Ti1 Y1,,0.143,,,,0.143,0.143,0.143,,,,,,,,,,0.143,,,,,,,0.143,,,0.143,,
Al1 Co1 Cr1 Cu1 Ni1 Ti1 Y0.5,,0.154,,,,0.154,0.154,0.154,,,,,,,,,,0.154,,,,,,,0.154,,,0.077,,
Al1 Co1 Cr1 Cu1 Ni1 Ti1 Y0.8,,0.147,,,,0.147,0.147,0.147,,,,,,,,,,0.147,,,,,,,0.147,,,0.118,,
Co1 Cu1 Fe1 Ni1,,,,,,0.25,,0.25,0.25,,,,,,,,,0.25,,,,,,,,,,,,
