Alloy composition,FORMULA,IDENTIFIER: Reference ID,REFERENCE: doi,PROPERTY: Processing method,PROPERTY: Microstructure,PROPERTY: O content (wppm),PROPERTY: N content (wppm),PROPERTY: C content (wppm),PROPERTY: grain size ($\mu$m),PROPERTY: ROM Density (g/cm$^3$),PROPERTY: Exp. Density (g/cm$^3$),PROPERTY: HV,PROPERTY: Type of test,PROPERTY: Test temperature ($^\circ$C),PROPERTY: YS (MPa),PROPERTY: UTS (MPa),PROPERTY: Elongation (%),PROPERTY: Elongation plastic (%),PROPERTY: Young modulus (GPa),REFERENCE: year
,Fe1 Mn1 Ni1,154,10.1016/j.intermet.2019.04.003,,,,,,,,,,,,,,,,181.0,2019
,Fe1 Mn1 Ni1,164,10.1016/j.actamat.2019.04.017,WROUGHT,FCC,,,,0.862,,,,T,25.0,529.0,613.0,25.0,,182.0,2019
,Fe1 Mn1 Ni1,164,10.1016/j.actamat.2019.04.017,WROUGHT,FCC,,,,0.894,,,,T,25.0,522.0,601.0,25.0,,182.0,2019
,Fe1 Mn1 Ni1,164,10.1016/j.actamat.2019.04.017,WROUGHT,FCC,,,,1.25,,,,T,25.0,460.0,599.0,27.0,,182.0,2019
,Fe1 Mn1 Ni1,164,10.1016/j.actamat.2019.04.017,WROUGHT,FCC,,,,1.75,,,,T,25.0,407.0,536.0,26.0,,182.0,2019
,Fe1 Mn1 Ni1,164,10.1016/j.actamat.2019.04.017,WROUGHT,FCC,,,,2.26,,,,T,25.0,372.0,542.0,31.0,,182.0,2019
,Fe1 Mn1 Ni1,164,10.1016/j.actamat.2019.04.017,WROUGHT,FCC,,,,3.52,,,,T,25.0,322.0,554.0,49.0,,182.0,2019
Fe1 Mo1 Nb1 Ti1 V1,,,,,,,,,,,,,,,,,,,,
,Fe1 Mo1 Nb1 Ti1 V1,186,10.1007/s40195-019-00935-x,CAST,,,,,,,,699.0,C,25.0,1707.0,,1.7,,,2019
Fe1 Mo1 Ni1 Ti1 V1 Zr1,,,,,,,,,,,,,,,,,,,,
,Fe1 Mo1 Ni1 Ti1 V1 Zr1,15,10.1002/adem.200300567,CAST,BCC+Sec.,,,,,7.1,,740.0,,25.0,,,,,,2004
Fe1 Ni1,,,,,,,,,,,,,,,,,,,,
,Fe1 Ni1,154,10.1016/j.intermet.2019.04.003,,,,,,,,,,,,,,,,166.2,2019
Hf0.25 Nb0.125 Ti1 V0.5 Zr0.5,,,,,,,,,,,,,,,,,,,,
,Hf0.25 Nb0.125 Ti1 V0.5 Zr0.5,193,10.1007/s40195-019-00921-3,CAST,BCC,,,,,,,332.4,C,25.0,1115.0,,50.0,,,2019
Hf0.25 Nb0.25 Ti1 V0.5 Zr0.5,,,,,,,,,,,,,,,,,,,,
,Hf0.25 Nb0.25 Ti1 V0.5 Zr0.5,193,10.1007/s40195-019-00921-3,CAST,BCC,,,,,,,322.5,C,25.0,1065.0,,50.0,,,2019
,Hf0.25 Nb0.25 Ti1 V0.5 Zr0.5,193,10.1007/s40195-019-00921-3,CAST,BCC,,,,,,,322.5,C,600.0,718.0,,50.0,,,2019
,Hf0.25 Nb0.25 Ti1 V0.5 Zr0.5,193,10.1007/s40195-019-00921-3,CAST,BCC,,,,,,,322.5,C,800.0,135.0,,50.0,,,2019
Hf0.25 Nb0.375 Ti1 V0.5 Zr0.5,,,,,,,,,,,,,,,,,,,,
,Hf0.25 Nb0.375 Ti1 V0.5 Zr0.5,193,10.1007/s40195-019-00921-3,CAST,BCC,,,,,,,318.9,C,25.0,1025.0,,50.0,,,2019
Hf0.25 Nb0.5 Ti1 V0.5 Zr0.5,,,,,,,,,,,,,,,,,,,,
,Hf0.25 Nb0.5 Ti1 V0.5 Zr0.5,193,10.1007/s40195-019-00921-3,CAST,BCC,,,,,,,310.4,C,25.0,980.0,,50.0,,,2019
,Hf0.25 Nb0.5 Ti1 V0.5 Zr0.5,193,10.1007/s40195-019-00921-3,CAST,BCC,,,,,,,310.4,C,600.0,859.0,,50.0,,,2019
,Hf0.25 Nb0.5 Ti1 V0.5 Zr0.5,193,10.1007/s40195-019-00921-3,CAST,BCC,,,,,,,310.4,C,800.0,195.0,,50.0,,,2019
Hf0.25 Ti1 V0.5 Zr0.5,,,,,,,,,,,,,,,,,,,,
,Hf0.25 Ti1 V0.5 Zr0.5,193,10.1007/s40195-019-00921-3,CAST,BCC,,,,,,,338.3,C,25.0,1160.0,,50.0,,,2019
,Hf0.25 Ti1 V0.5 Zr0.5,193,10.1007/s40195-019-00921-3,CAST,BCC,,,,,,,338.3,C,600.0,405.0,,50.0,,,2019
,Hf0.25 Ti1 V0.5 Zr0.5,193,10.1007/s40195-019-00921-3,CAST,BCC,,,,,,,338.3,C,800.0,85.0,,50.0,,,2019
Hf0.26 Nb1 Ta1 Ti0.578 Zr0.416,,,,,,,,,,,,,,,,,,,,
,Hf0.26 Nb1 Ta1 Ti0.578 Zr0.416,72,10.1080/14786435.2015.1028506,CAST,BCC,,,,,10.4,,,C,60.0,795.0,,,,125.0,2015
,Hf0.26 Nb1 Ta1 Ti0.578 Zr0.416,72,10.1080/14786435.2015.1028506,CAST,BCC,,,,,10.4,,,C,100.0,765.0,,,,,2015
,Hf0.26 Nb1 Ta1 Ti0.578 Zr0.416,72,10.1080/14786435.2015.1028506,CAST,BCC,,,,,10.4,,,C,200.0,650.0,,,,,2015
,Hf0.26 Nb1 Ta1 Ti0.578 Zr0.416,72,10.1080/14786435.2015.1028506,CAST,BCC,,,,,10.4,,,C,300.0,590.0,,,,,2015
,Hf0.26 Nb1 Ta1 Ti0.578 Zr0.416,72,10.1080/14786435.2015.1028506,CAST,BCC,,,,,10.4,,,C,25.0,845.0,,,,,2015
Hf0.333 Nb0.333 Ta0.333 Ti1 Zr0.667,,,,,,,,,,,,,,,,,,,,
,Hf0.333 Nb0.333 Ta0.333 Ti1 Zr0.667,52,10.1063/1.4966659,CAST,BCC,,,,,8.1,,301.0,T,25.0,903.0,990.0,19.0,,107.0,2013
Hf0.5 Mo0.5 Nb1 Si0.1 Ti1 Zr1,,,,,,,,,,,,,,,,,,,,
,Hf0.5 Mo0.5 Nb1 Si0.1 Ti1 Zr1,73,10.1016/j.jallcom.2015.11.091,CAST,BCC+Sec.,,,,,7.7,,442.0,C,25.0,1350.0,2150.0,,28.0,,2015
Hf0.5 Mo0.5 Nb1 Si0.3 Ti1 Zr1,,,,,,,,,,,,,,,,,,,,
,Hf0.5 Mo0.5 Nb1 Si0.3 Ti1 Zr1,73,10.1016/j.jallcom.2015.11.091,CAST,BCC+Sec.,,,,,7.5,,494.0,C,25.0,1370.0,1950.0,,23.0,,2015
Hf0.5 Mo0.5 Nb1 Si0.5 Ti1 Zr1,,,,,,,,,,,,,,,,,,,,
,Hf0.5 Mo0.5 Nb1 Si0.5 Ti1 Zr1,73,10.1016/j.jallcom.2015.11.091,CAST,BCC+Sec.,,,,,7.2,,524.0,C,25.0,1600.0,1900.0,,23.0,,2015
Hf0.5 Mo0.5 Nb1 Si0.7 Ti1 Zr1,,,,,,,,,,,,,,,,,,,,
,Hf0.5 Mo0.5 Nb1 Si0.7 Ti1 Zr1,73,10.1016/j.jallcom.2015.11.091,CAST,BCC+Sec.,,,,,7.0,,580.0,C,25.0,1550.0,1900.0,,12.0,,2015
Hf0.5 Mo0.5 Nb1 Si0.9 Ti1 Zr1,,,,,,,,,,,,,,,,,,,,
,Hf0.5 Mo0.5 Nb1 Si0.9 Ti1 Zr1,73,10.1016/j.jallcom.2015.11.091,CAST,BCC+Sec.,,,,,6.8,,640.0,C,25.0,1650.0,2000.0,,9.0,,2015
Hf0.5 Mo0.5 Nb1 Ti1 Zr1,,,,,,,,,,,,,,,,,,,,
,Hf0.5 Mo0.5 Nb1 Ti1 Zr1,47,10.1016/j.intermet.2015.09.011,CAST,BCC,,,,,7.9,,,C,25.0,1176.0,1538.0,,,123.1,2015
,Hf0.5 Mo0.5 Nb1 Ti1 Zr1,73,10.1016/j.jallcom.2015.11.091,CAST,BCC+Sec.,,,,,7.9,,400.0,C,25.0,1150.0,1500.0,,25.0,123.1,2015
Hf0.5 Nb0.667 Ta0.333 Ti1 Zr0.833,,,,,,,,,,,,,,,,,,,,
,Hf0.5 Nb0.667 Ta0.333 Ti1 Zr0.833,74,10.1016/j.msea.2017.10.073,WROUGHT,BCC,,,,,8.4,,,C,-268.8,2250.0,,,,103.1,2017
,Hf0.5 Nb0.667 Ta0.333 Ti1 Zr0.833,74,10.1016/j.msea.2017.10.073,WROUGHT,BCC,,,,,8.4,,,C,-268.8,2210.0,,,,103.1,2017
,Hf0.5 Nb0.667 Ta0.333 Ti1 Zr0.833,74,10.1016/j.msea.2017.10.073,WROUGHT,BCC,,,,,8.4,,,C,-196.0,1880.0,,,,,2017
,Hf0.5 Nb0.667 Ta0.333 Ti1 Zr0.833,74,10.1016/j.msea.2017.10.073,WROUGHT,BCC,,,,,8.4,,,C,-196.0,1750.0,,,,,2017
,Hf0.5 Nb0.667 Ta0.333 Ti1 Zr0.833,74,10.1016/j.msea.2017.10.073,WROUGHT,BCC,,,,,8.4,,,C,-153.0,1640.0,,,,,2017
,Hf0.5 Nb0.667 Ta0.333 Ti1 Zr0.833,74,10.1016/j.msea.2017.10.073,WROUGHT,BCC,,,,,8.4,,,C,-153.0,1550.0,,,,,2017
,Hf0.5 Nb0.667 Ta0.333 Ti1 Zr0.833,74,10.1016/j.msea.2017.10.073,WROUGHT,BCC,,,,,8.4,,,C,-103.0,1380.0,,,,,2017
,Hf0.5 Nb0.667 Ta0.333 Ti1 Zr0.833,74,10.1016/j.msea.2017.10.073,WROUGHT,BCC,,,,,8.4,,,C,-103.0,1370.0,,,,,2017
,Hf0.5 Nb0.667 Ta0.333 Ti1 Zr0.833,74,10.1016/j.msea.2017.10.073,WROUGHT,BCC,,,,,8.4,,,C,-43.0,1200.0,,,,,2017
,Hf0.5 Nb0.667 Ta0.333 Ti1 Zr0.833,74,10.1016/j.msea.2017.10.073,WROUGHT,BCC,,,,,8.4,,,C,-43.0,1180.0,,,,,2017
,Hf0.5 Nb0.667 Ta0.333 Ti1 Zr0.833,74,10.1016/j.msea.2017.10.073,WROUGHT,BCC,,,,,8.4,,,C,72.0,1040.0,,,,,2017
,Hf0.5 Nb0.667 Ta0.333 Ti1 Zr0.833,74,10.1016/j.msea.2017.10.073,WROUGHT,BCC,,,,,8.4,,,C,72.0,1020.0,,,,,2017
,Hf0.5 Nb0.667 Ta0.333 Ti1 Zr0.833,74,10.1016/j.msea.2017.10.073,WROUGHT,BCC,,,,,8.4,,,C,25.0,1150.0,,,,,2017
,Hf0.5 Nb0.667 Ta0.333 Ti1 Zr0.833,74,10.1016/j.msea.2017.10.073,WROUGHT,BCC,,,,,8.4,,,C,25.0,1100.0,,,,,2017
,Hf0.5 Nb0.667 Ta0.333 Ti1 Zr0.833,74,10.1016/j.msea.2017.10.073,WROUGHT,BCC,,,,,8.4,,,C,-268.8,2390.0,,,,103.1,2017
,Hf0.5 Nb0.667 Ta0.333 Ti1 Zr0.833,74,10.1016/j.msea.2017.10.073,WROUGHT,BCC,,,,,8.4,,,C,-196.0,1920.0,,,,,2017
,Hf0.5 Nb0.667 Ta0.333 Ti1 Zr0.833,74,10.1016/j.msea.2017.10.073,WROUGHT,BCC,,,,,8.4,,,C,-153.0,1370.0,,,,,2017
,Hf0.5 Nb0.667 Ta0.333 Ti1 Zr0.833,74,10.1016/j.msea.2017.10.073,WROUGHT,BCC,,,,,8.4,,,C,-103.0,1250.0,,,,,2017
,Hf0.5 Nb0.667 Ta0.333 Ti1 Zr0.833,74,10.1016/j.msea.2017.10.073,WROUGHT,BCC,,,,,8.4,,,C,-43.0,1020.0,,,,,2017
,Hf0.5 Nb0.667 Ta0.333 Ti1 Zr0.833,74,10.1016/j.msea.2017.10.073,WROUGHT,BCC,,,,,8.4,,,C,72.0,640.0,,,,,2017
,Hf0.5 Nb0.667 Ta0.333 Ti1 Zr0.833,74,10.1016/j.msea.2017.10.073,WROUGHT,BCC,,,,,8.4,,,C,25.0,890.0,,,,,2017
Hf0.787 Nb0.142 Ta0.142 Ti1 Zr0.787,,,,,,,,,,,,,,,,,,,,
,Hf0.787 Nb0.142 Ta0.142 Ti1 Zr0.787,77,10.1080/21663831.2016.1221861,WROUGHT,BCC,,,,,8.5,,,T,25.0,540.0,995.0,,,95.2,2016
Hf1 Mo0.25 Nb1 Ta1 Ti1 Zr1,,,,,,,,,,,,,,,,,,,,
,Hf1 Mo0.25 Nb1 Ta1 Ti1 Zr1,48,10.1016/j. matlet.2016.03.133,CAST,BCC,,,,,9.9,,395.0,C,25.0,1112.0,,50.0,,96.0,2016
,Hf1 Mo0.25 Nb1 Ta1 Ti1 Zr1,75,10.1016/j.matlet.2016.03.133,CAST,BCC,,,,,9.9,,,C,25.0,1112.0,,,,121.0,2016
Hf1 Mo0.5 Nb1 Si0.3 Ti1 V0.5,,,,,,,,,,,,,,,,,,,,
,Hf1 Mo0.5 Nb1 Si0.3 Ti1 V0.5,76,10.1016/j.jallcom.2016.10.014,CAST,BCC+Sec.,,,,,8.5,,,C,1000.0,398.0,430.0,,,,2016
,Hf1 Mo0.5 Nb1 Si0.3 Ti1 V0.5,76,10.1016/j.jallcom.2016.10.014,CAST,BCC+Sec.,,,,,8.5,,,C,25.0,1617.0,2016.0,,,,2016
,Hf1 Mo0.5 Nb1 Si0.3 Ti1 V0.5,76,10.1016/j.jallcom.2016.10.014,CAST,BCC+Sec.,,,,,8.5,,,C,1200.0,166.0,187.0,,,,2016
,Hf1 Mo0.5 Nb1 Si0.3 Ti1 V0.5,157,10.1016/j.actamat.2019.06.032,CAST,,,,,,,8.46,,C,23.0,1617.0,,,,,2019
,Hf1 Mo0.5 Nb1 Si0.3 Ti1 V0.5,157,10.1016/j.actamat.2019.06.032,CAST,,,,,,,8.46,,C,1000.0,398.0,,,,,2019
,Hf1 Mo0.5 Nb1 Si0.3 Ti1 V0.5,157,10.1016/j.actamat.2019.06.032,CAST,,,,,,,8.46,,C,1200.0,166.0,,,,,2019
Hf1 Mo0.5 Nb1 Si0.5 Ti1 V0.5,,,,,,,,,,,,,,,,,,,,
,Hf1 Mo0.5 Nb1 Si0.5 Ti1 V0.5,76,10.1016/j.jallcom.2016.10.014,CAST,BCC+Sec.,,,,,8.2,,,C,1000.0,614.0,696.0,,,,2016
,Hf1 Mo0.5 Nb1 Si0.5 Ti1 V0.5,76,10.1016/j.jallcom.2016.10.014,CAST,BCC+Sec.,,,,,8.2,,,C,25.0,1787.0,2052.0,,,,2016
,Hf1 Mo0.5 Nb1 Si0.5 Ti1 V0.5,76,10.1016/j.jallcom.2016.10.014,CAST,BCC+Sec.,,,,,8.2,,,C,1200.0,188.0,219.0,,,,2016
,Hf1 Mo0.5 Nb1 Si0.5 Ti1 V0.5,157,10.1016/j.actamat.2019.06.032,CAST,,,,,,,8.16,,C,23.0,1787.0,,,,,2019
,Hf1 Mo0.5 Nb1 Si0.5 Ti1 V0.5,157,10.1016/j.actamat.2019.06.032,CAST,,,,,,,8.16,,C,1000.0,614.0,,,,,2019
,Hf1 Mo0.5 Nb1 Si0.5 Ti1 V0.5,157,10.1016/j.actamat.2019.06.032,CAST,,,,,,,8.16,,C,1200.0,188.0,,,,,2019
Hf1 Mo0.5 Nb1 Si0.7 Ti1 V0.5,,,,,,,,,,,,,,,,,,,,
,Hf1 Mo0.5 Nb1 Si0.7 Ti1 V0.5,76,10.1016/j.jallcom.2016.10.014,CAST,BCC+Sec.,,,,,7.9,,,C,1000.0,673.0,741.0,,,,2016
,Hf1 Mo0.5 Nb1 Si0.7 Ti1 V0.5,76,10.1016/j.jallcom.2016.10.014,CAST,BCC+Sec.,,,,,7.9,,,C,25.0,2134.0,2242.0,,,,2016
,Hf1 Mo0.5 Nb1 Si0.7 Ti1 V0.5,76,10.1016/j.jallcom.2016.10.014,CAST,BCC+Sec.,,,,,7.9,,,C,1200.0,235.0,268.0,,,,2016
,Hf1 Mo0.5 Nb1 Si0.7 Ti1 V0.5,157,10.1016/j.actamat.2019.06.032,CAST,,,,,,,7.89,,C,23.0,2134.0,,,,,2019
,Hf1 Mo0.5 Nb1 Si0.7 Ti1 V0.5,157,10.1016/j.actamat.2019.06.032,CAST,,,,,,,7.89,,C,1000.0,673.0,,,,,2019
,Hf1 Mo0.5 Nb1 Si0.7 Ti1 V0.5,157,10.1016/j.actamat.2019.06.032,CAST,,,,,,,7.89,,C,1200.0,235.0,,,,,2019
,Hf1 Mo0.5 Nb1 Si0.7 Ti1 V0.5,163,10.1016/j.ijrmhm.2019.02.009,CAST,,,,,,,8.49,612.0,C,25.0,2134.0,,,,,2019
Hf1 Mo0.5 Nb1 Ta1 Ti1 Zr1,,,,,,,,,,,,,,,,,,,,
,Hf1 Mo0.5 Nb1 Ta1 Ti1 Zr1,48,10.1016/j. matlet.2016.03.133,CAST,BCC,,,,,10.0,,480.0,C,25.0,1317.0,,50.0,,102.0,2016
,Hf1 Mo0.5 Nb1 Ta1 Ti1 Zr1,75,10.1016/j.matlet.2016.03.133,CAST,BCC,,,,,9.9,,,C,25.0,1317.0,,,,130.5,2016
Hf1 Mo0.5 Nb1 Ti1 V0.5,,,,,,,,,,,,,,,,,,,,
,Hf1 Mo0.5 Nb1 Ti1 V0.5,76,10.1016/j.jallcom.2016.10.014,CAST,BCC,,,,,9.0,,,C,1000.0,368.0,394.0,,,131.9,2016
,Hf1 Mo0.5 Nb1 Ti1 V0.5,76,10.1016/j.jallcom.2016.10.014,CAST,BCC,,,,,9.0,,,C,1200.0,60.0,,,,,2016
,Hf1 Mo0.5 Nb1 Ti1 V0.5,76,10.1016/j.jallcom.2016.10.014,CAST,BCC,,,,,9.0,,,C,25.0,1260.0,,,,,2016
,Hf1 Mo0.5 Nb1 Ti1 V0.5,157,10.1016/j.actamat.2019.06.032,CAST,BCC,,,,,,8.96,,C,23.0,1260.0,,,,,2019
,Hf1 Mo0.5 Nb1 Ti1 V0.5,157,10.1016/j.actamat.2019.06.032,CAST,BCC,,,,,,8.96,,C,1000.0,368.0,,,,,2019
,Hf1 Mo0.5 Nb1 Ti1 V0.5,157,10.1016/j.actamat.2019.06.032,CAST,BCC,,,,,,8.96,,C,1200.0,60.0,,,,,2019
Hf1 Mo0.75 Nb1 Ta1 Ti1 Zr1,,,,,,,,,,,,,,,,,,,,
,Hf1 Mo0.75 Nb1 Ta1 Ti1 Zr1,48,10.1016/j. matlet.2016.03.133,CAST,BCC,,,,,10.0,,492.0,C,25.0,1373.0,,50.0,,109.0,2016
,Hf1 Mo0.75 Nb1 Ta1 Ti1 Zr1,75,10.1016/j.matlet.2016.03.133,CAST,BCC,,,,,9.9,,,C,25.0,1373.0,,,,139.1,2016
Hf1 Mo1 Nb1 Ta1 Ti1,,,,,,,,,,,,,,,,,,,,
,Hf1 Mo1 Nb1 Ta1 Ti1,129,10.3390/e21010015,CAST,BCC,,,,,,,,C,25.0,1369.0,,27.0,,,2019
,Hf1 Mo1 Nb1 Ta1 Ti1,129,10.3390/e21010015,CAST,BCC,,,,,,,,C,800.0,822.0,,,,,2019
,Hf1 Mo1 Nb1 Ta1 Ti1,129,10.3390/e21010015,CAST,BCC,,,,,,,,C,1000.0,778.0,,,,,2019
,Hf1 Mo1 Nb1 Ta1 Ti1,129,10.3390/e21010015,CAST,BCC,,,,,,,,C,1200.0,699.0,,,,,2019
,Hf1 Mo1 Nb1 Ta1 Ti1,129,10.3390/e21010015,CAST,BCC,,,,,,,,C,1400.0,367.0,,,,,2019
Hf1 Mo1 Nb1 Ta1 Ti1 W1 Zr1,,,,,,,,,,,,,,,,,,,,
,Hf1 Mo1 Nb1 Ta1 Ti1 W1 Zr1,183,10.1016/j.jallcom.2019.06.138,CAST,,,,,31.7,,,,C,25.0,1637.0,,15.5,,,2019
,Hf1 Mo1 Nb1 Ta1 Ti1 W1 Zr1,183,10.1016/j.jallcom.2019.06.138,CAST,,,,,31.7,,,,C,800.0,1065.0,,35.0,,,2019
,Hf1 Mo1 Nb1 Ta1 Ti1 W1 Zr1,183,10.1016/j.jallcom.2019.06.138,CAST,,,,,31.7,,,,C,1000.0,736.0,,35.0,,,2019
,Hf1 Mo1 Nb1 Ta1 Ti1 W1 Zr1,183,10.1016/j.jallcom.2019.06.138,CAST,,,,,31.7,,,,C,1200.0,703.0,,35.0,,,2019
Hf1 Mo1 Nb1 Ta1 Ti1 Zr1,,,,,,,,,,,,,,,,,,,,
,Hf1 Mo1 Nb1 Ta1 Ti1 Zr1,48,10.1016/j. matlet.2016.03.133,CAST,BCC,,,,,10.0,,505.0,C,25.0,1512.0,1800.0,12.0,,115.0,2016
,Hf1 Mo1 Nb1 Ta1 Ti1 Zr1,49,10.1016/j.intermet.2015.03.013,CAST,BCC,,,,,10.0,,505.0,C,25.0,1512.0,,12.0,,147.0,2015
,Hf1 Mo1 Nb1 Ta1 Ti1 Zr1,49,10.1016/j.intermet.2015.03.013,CAST,BCC,,,,,10.0,,,C,800.0,1007.0,,23.0,,,2015
,Hf1 Mo1 Nb1 Ta1 Ti1 Zr1,49,10.1016/j.intermet.2015.03.013,CAST,BCC,,,,,10.0,,,C,1000.0,814.0,,30.0,,,2015
,Hf1 Mo1 Nb1 Ta1 Ti1 Zr1,49,10.1016/j.intermet.2015.03.013,CAST,BCC,,,,,10.0,,,C,1200.0,556.0,,30.0,,,2015
,Hf1 Mo1 Nb1 Ta1 Ti1 Zr1,75,10.1016/j.matlet.2016.03.133,CAST,BCC,,,,,9.9,,,C,25.0,1512.0,1800.0,,,147.0,2016
,Hf1 Mo1 Nb1 Ta1 Ti1 Zr1,146,10.1016/j.jallcom.2018.11.318,CAST,,,,,,,,505.0,C,25.0,1512.0,,10.0,,,2018
,Hf1 Mo1 Nb1 Ta1 Ti1 Zr1,157,10.1016/j.actamat.2019.06.032,CAST,BCC,,,,,,9.93,,C,23.0,1512.0,,,,,2019
,Hf1 Mo1 Nb1 Ta1 Ti1 Zr1,157,10.1016/j.actamat.2019.06.032,CAST,BCC,,,,,,9.93,,C,1000.0,814.0,,,,,2019
,Hf1 Mo1 Nb1 Ta1 Ti1 Zr1,157,10.1016/j.actamat.2019.06.032,CAST,BCC,,,,,,9.93,,C,1200.0,556.0,,,,,2019
,Hf1 Mo1 Nb1 Ta1 Ti1 Zr1,129,10.3390/e21010015,CAST,BCC,,,,,,,,C,25.0,1512.0,,12.0,,,2019
,Hf1 Mo1 Nb1 Ta1 Ti1 Zr1,129,10.3390/e21010015,CAST,BCC,,,,,,,,C,800.0,1007.0,,,,,2019
,Hf1 Mo1 Nb1 Ta1 Ti1 Zr1,129,10.3390/e21010015,CAST,BCC,,,,,,,,C,1000.0,814.0,,,,,2019
,Hf1 Mo1 Nb1 Ta1 Ti1 Zr1,129,10.3390/e21010015,CAST,BCC,,,,,,,,C,1200.0,556.0,,,,,2019
Hf1 Mo1 Nb1 Ta1 Zr1,,,,,,,,,,,,,,,,,,,,
,Hf1 Mo1 Nb1 Ta1 Zr1,129,10.3390/e21010015,CAST,BCC,,,,,,,,C,25.0,1524.0,,16.0,,,2019
,Hf1 Mo1 Nb1 Ta1 Zr1,129,10.3390/e21010015,CAST,BCC,,,,,,,,C,800.0,1005.0,,,,,2019
,Hf1 Mo1 Nb1 Ta1 Zr1,129,10.3390/e21010015,CAST,BCC,,,,,,,,C,1000.0,927.0,,,,,2019
,Hf1 Mo1 Nb1 Ta1 Zr1,129,10.3390/e21010015,CAST,BCC,,,,,,,,C,1200.0,694.0,,,,,2019
,Hf1 Mo1 Nb1 Ta1 Zr1,129,10.3390/e21010015,CAST,BCC,,,,,,,,C,1400.0,278.0,,,,,2019
Hf1 Mo1 Nb1 Ti1 Zr1,,,,,,,,,,,,,,,,,,,,
,Hf1 Mo1 Nb1 Ti1 Zr1,50,10.1016/j.matdes.2015.05.019,ANNEAL,BCC,,,,,8.7,,,C,25.0,1575.0,1640.0,9.0,,,2015
,Hf1 Mo1 Nb1 Ti1 Zr1,50,10.1016/j.matdes.2015.05.019,ANNEAL,BCC,,,,,8.7,,,C,800.0,825.0,1095.0,50.0,,,2015
,Hf1 Mo1 Nb1 Ti1 Zr1,50,10.1016/j.matdes.2015.05.019,ANNEAL,BCC,,,,,8.7,,,C,1000.0,635.0,654.0,50.0,,,2015
,Hf1 Mo1 Nb1 Ti1 Zr1,50,10.1016/j.matdes.2015.05.019,ANNEAL,BCC,,,,,8.7,,,C,1200.0,187.0,194.0,50.0,,,2015
,Hf1 Mo1 Nb1 Ti1 Zr1,50,10.1016/j.matdes.2015.05.019,CAST,BCC,,,,,8.7,,,C,25.0,1803.0,1719.0,10.0,,139.0,2015
,Hf1 Mo1 Nb1 Ti1 Zr1,157,10.1016/j.actamat.2019.06.032,CAST,BCC,,,,,,8.68,,C,23.0,1575.0,,,,,2019
,Hf1 Mo1 Nb1 Ti1 Zr1,157,10.1016/j.actamat.2019.06.032,CAST,BCC,,,,,,8.68,,C,1000.0,635.0,,,,,2019
,Hf1 Mo1 Nb1 Ti1 Zr1,157,10.1016/j.actamat.2019.06.032,CAST,BCC,,,,,,8.68,,C,1200.0,187.0,,,,,2019
,Hf1 Mo1 Nb1 Ti1 Zr1,163,10.1016/j.ijrmhm.2019.02.009,CAST,BCC,,,,,,8.68,,C,25.0,1719.0,,,,,2019
,Hf1 Mo1 Nb1 Ti1 Zr1,129,10.3390/e21010015,CAST,BCC,,,,,,,,C,25.0,1351.0,,20.0,,,2019
,Hf1 Mo1 Nb1 Ti1 Zr1,129,10.3390/e21010015,CAST,BCC,,,,,,,,C,800.0,829.0,,,,,2019
,Hf1 Mo1 Nb1 Ti1 Zr1,129,10.3390/e21010015,CAST,BCC,,,,,,,,C,1000.0,721.0,,,,,2019
,Hf1 Mo1 Nb1 Ti1 Zr1,129,10.3390/e21010015,CAST,BCC,,,,,,,,C,1200.0,301.0,,,,,2019
Hf1 Mo1 Ta1 Ti1 Zr1,,,,,,,,,,,,,,,,,,,,
,Hf1 Mo1 Ta1 Ti1 Zr1,49,10.1016/j.intermet.2015.03.013,CAST,BCC,,,,,10.2,,542.0,C,25.0,1600.0,1743.0,4.0,,155.0,2015
,Hf1 Mo1 Ta1 Ti1 Zr1,49,10.1016/j.intermet.2015.03.013,CAST,BCC,,,,,10.2,,,C,800.0,1045.0,1446.0,19.0,,,2015
,Hf1 Mo1 Ta1 Ti1 Zr1,49,10.1016/j.intermet.2015.03.013,CAST,BCC,,,,,10.2,,,C,1000.0,855.0,,30.0,,,2015
,Hf1 Mo1 Ta1 Ti1 Zr1,49,10.1016/j.intermet.2015.03.013,CAST,BCC,,,,,10.2,,,C,1200.0,404.0,,30.0,,,2015
,Hf1 Mo1 Ta1 Ti1 Zr1,157,10.1016/j.actamat.2019.06.032,CAST,BCC,,,,,,10.18,,C,23.0,1600.0,,,,,2019
,Hf1 Mo1 Ta1 Ti1 Zr1,157,10.1016/j.actamat.2019.06.032,CAST,BCC,,,,,,10.18,,C,1000.0,855.0,,,,,2019
,Hf1 Mo1 Ta1 Ti1 Zr1,157,10.1016/j.actamat.2019.06.032,CAST,BCC,,,,,,10.18,,C,1200.0,404.0,,,,,2019
,Hf1 Mo1 Ta1 Ti1 Zr1,129,10.3390/e21010015,CAST,BCC,,,,,,,,C,25.0,1600.0,,4.0,,,2019
,Hf1 Mo1 Ta1 Ti1 Zr1,129,10.3390/e21010015,CAST,BCC,,,,,,,,C,800.0,1045.0,,,,,2019
,Hf1 Mo1 Ta1 Ti1 Zr1,129,10.3390/e21010015,CAST,BCC,,,,,,,,C,1000.0,855.0,,,,,2019
,Hf1 Mo1 Ta1 Ti1 Zr1,129,10.3390/e21010015,CAST,BCC,,,,,,,,C,1200.0,404.0,,,,,2019
