Alloy composition,FORMULA,IDENTIFIER: Reference ID,REFERENCE: doi,PROPERTY: Processing method,PROPERTY: Microstructure,PROPERTY: O content (wppm),PROPERTY: N content (wppm),PROPERTY: C content (wppm),PROPERTY: grain size ($\mu$m),PROPERTY: ROM Density (g/cm$^3$),PROPERTY: Exp. Density (g/cm$^3$),PROPERTY: HV,PROPERTY: Type of test,PROPERTY: Test temperature ($^\circ$C),PROPERTY: YS (MPa),PROPERTY: UTS (MPa),PROPERTY: Elongation (%),PROPERTY: Elongation plastic (%),PROPERTY: Young modulus (GPa),REFERENCE: year
Al0.278 Co0.556 Cr0.556 Cu0.556 Fe0.556 Ni0.556 V1,,,,,,,,,,,,,,,,,,,,
,Al0.278 Co0.556 Cr0.556 Cu0.556 Fe0.556 Ni0.556 V1,25,10.1007/s11661-006-0081-3,CAST,BCC,,,,,7.2,,597.0,,25.0,,,,,177.0,2006
Al0.278 Co0.694 Cr0.222 Fe0.417 Ni1 Ti0.167,,,,,,,,,,,,,,,,,,,,
,Al0.278 Co0.694 Cr0.222 Fe0.417 Ni1 Ti0.167,159,10.1016/j.matchar.2018.06.036,CAST,,,,,,,,343.0,,,,,,,,2018
,Al0.278 Co0.694 Cr0.222 Fe0.417 Ni1 Ti0.167,159,10.1016/j.matchar.2018.06.036,ANNEAL,,,,,,,,341.0,,,,,,,,2018
,Al0.278 Co0.694 Cr0.222 Fe0.417 Ni1 Ti0.167,159,10.1016/j.matchar.2018.06.036,ANNEAL,,,,,,,,345.0,T,25.0,568.0,786.0,12.0,,,2018
,Al0.278 Co0.694 Cr0.222 Fe0.417 Ni1 Ti0.167,159,10.1016/j.matchar.2018.06.036,ANNEAL,,,,,,,,345.0,T,25.0,596.0,1039.0,20.0,,,2018
,Al0.278 Co0.694 Cr0.222 Fe0.417 Ni1 Ti0.167,159,10.1016/j.matchar.2018.06.036,ANNEAL,,,,,0.37,,,345.0,T,700.0,487.0,702.0,18.0,,,2018
,Al0.278 Co0.694 Cr0.222 Fe0.417 Ni1 Ti0.167,159,10.1016/j.matchar.2018.06.036,ANNEAL,,,,,0.32,,,345.0,T,700.0,486.0,624.0,11.0,,,2018
,Al0.278 Co0.694 Cr0.222 Fe0.417 Ni1 Ti0.167,177,10.3390/e21020169,ANNEAL,FCC,,,,,,,,T,23.0,520.0,696.0,49.0,,,2019
,Al0.278 Co0.694 Cr0.222 Fe0.417 Ni1 Ti0.167,177,10.3390/e21020169,ANNEAL,FCC,,,,,,,,T,600.0,470.0,561.0,11.0,,,2019
,Al0.278 Co0.694 Cr0.222 Fe0.417 Ni1 Ti0.167,177,10.3390/e21020169,ANNEAL,FCC,,,,,,,,T,700.0,461.0,560.0,9.0,,,2019
,Al0.278 Co0.694 Cr0.222 Fe0.417 Ni1 Ti0.167,177,10.3390/e21020169,ANNEAL,FCC,,,,,,,,T,800.0,445.0,536.0,6.0,,,2019
,Al0.278 Co0.694 Cr0.222 Fe0.417 Ni1 Ti0.167,177,10.3390/e21020169,ANNEAL,FCC,,,,,,,,T,900.0,219.0,312.0,8.0,,,2019
,Al0.278 Co0.694 Cr0.222 Fe0.417 Ni1 Ti0.167,177,10.3390/e21020169,ANNEAL,FCC,,,,,,,,T,23.0,627.0,1197.0,27.0,,,2019
,Al0.278 Co0.694 Cr0.222 Fe0.417 Ni1 Ti0.167,177,10.3390/e21020169,ANNEAL,FCC,,,,,,,,T,600.0,594.0,1006.0,12.0,,,2019
,Al0.278 Co0.694 Cr0.222 Fe0.417 Ni1 Ti0.167,177,10.3390/e21020169,ANNEAL,FCC,,,,,,,,T,700.0,547.0,840.0,17.0,,,2019
,Al0.278 Co0.694 Cr0.222 Fe0.417 Ni1 Ti0.167,177,10.3390/e21020169,ANNEAL,FCC,,,,,,,,T,800.0,399.0,575.0,20.0,,,2019
,Al0.278 Co0.694 Cr0.222 Fe0.417 Ni1 Ti0.167,177,10.3390/e21020169,ANNEAL,FCC,,,,,,,,T,900.0,243.0,319.0,34.0,,,2019
Al0.286 Cr0.343 Fe1 Mn0.657 Ni0.571,,,,,,,,,,,,,,,,,,,,
,Al0.286 Cr0.343 Fe1 Mn0.657 Ni0.571,208,10.1016/j.msea.2019.05.056,WROUGHT,FCC,,,,,,,,T,25.0,320.0,625.0,42.2,42.45,,2019
,Al0.286 Cr0.343 Fe1 Mn0.657 Ni0.571,208,10.1016/j.msea.2019.05.056,WROUGHT,FCC,,,,,,,,T,25.0,1400.0,1500.0,5.83,7.85,,2019
Al0.3 Co1 Cr1 Cu1 Fe1,,,,,,,,,,,,,,,,,,,,
,Al0.3 Co1 Cr1 Cu1 Fe1,20,10.3166/acsm.31.633-648,,FCC,,,,,7.7,,180.0,,25.0,,,,,194.0,2019
Al0.3 Co1 Cr1 Fe1 Mn1 Ni1,,,,,,,,,,,,,,,,,,,,
,Al0.3 Co1 Cr1 Fe1 Mn1 Ni1,135,10.1016/j.jallcom.2018.10.168,CAST,,,,,0.2,,,511.0,C,25.0,1836.0,,,4.9,,2018
,Al0.3 Co1 Cr1 Fe1 Mn1 Ni1,108,10.1016/j.scriptamat.2018.12.021,POWDER,,,,,,,,,,,,,,,,2018
Al0.3 Co1 Cr1 Fe1 Mo0.1 Ni1,,,,,,,,,,,,,,,,,,,,
