IDENTIFIER: Reference ID,FORMULA,PROPERTY: Microstructure,PROPERTY: Processing method,PROPERTY: grain size ($\mu$m),PROPERTY: ROM Density (g/cm$^3$),PROPERTY: Exp. Density (g/cm$^3$),PROPERTY: HV,PROPERTY: Type of test,PROPERTY: Test temperature ($^\circ$C),PROPERTY: YS (MPa),PROPERTY: UTS (MPa),PROPERTY: Elongation (%),PROPERTY: Elongation plastic (%),PROPERTY: Young modulus (GPa),PROPERTY: O content (wppm),PROPERTY: N content (wppm),PROPERTY: C content (wppm),REFERENCE: doi,REFERENCE: year
16,Al0.2 Co1 Cr1 Fe1 Mn1 Ni1,FCC,CAST,,7.7,,171.0,T,25.0,220.0,,56.0,,214.0,,,,10.1016/j.actamat.2013.09.037,2013
16,Al0.38 Co1 Cr1 Fe1 Mn1 Ni1,FCC,CAST,,7.5,,182.0,T,25.0,244.0,,45.0,,209.0,,,,10.1016/j.actamat.2013.09.037,2013
16,Al0.43 Co1 Cr1 Fe1 Mn1 Ni1,FCC+BCC,CAST,,7.4,,183.0,T,25.0,285.0,,35.0,,208.0,,,,10.1016/j.actamat.2013.09.037,2013
16,Al0.49 Co1 Cr1 Fe1 Mn1 Ni1,FCC+BCC,CAST,,7.4,,220.0,T,25.0,331.0,,29.0,,206.0,,,,10.1016/j.actamat.2013.09.037,2013
16,Al0.56 Co1 Cr1 Fe1 Mn1 Ni1,FCC+BCC,CAST,,7.3,,278.0,T,25.0,526.0,,16.0,,204.0,,,,10.1016/j.actamat.2013.09.037,2013
16,Al0.62 Co1 Cr1 Fe1 Mn1 Ni1,FCC+BCC,CAST,,7.2,,405.0,T,25.0,833.0,,5.0,,203.0,,,,10.1016/j.actamat.2013.09.037,2013
16,Al0.68 Co1 Cr1 Fe1 Mn1 Ni1,FCC+BCC,CAST,,7.2,,486.0,,25.0,,,,,202.0,,,,10.1016/j.actamat.2013.09.037,2013
16,Al0.75 Co1 Cr1 Fe1 Mn1 Ni1,FCC+BCC,CAST,,7.1,,530.0,,25.0,,,,,200.0,,,,10.1016/j.actamat.2013.09.037,2013
16,Al0.81 Co1 Cr1 Fe1 Mn1 Ni1,FCC+BCC,CAST,,7.0,,539.0,,25.0,,,,,199.0,,,,10.1016/j.actamat.2013.09.037,2013
16,Al0.88 Co1 Cr1 Fe1 Mn1 Ni1,FCC+BCC,CAST,,7.0,,533.0,,25.0,,,,,197.0,,,,10.1016/j.actamat.2013.09.037,2013
16,Al0.95 Co1 Cr1 Fe1 Mn1 Ni1,FCC+BCC,CAST,,6.9,,535.0,,25.0,,,,,196.0,,,,10.1016/j.actamat.2013.09.037,2013
16,Al1 Co0.8 Cr0.8 Fe0.8 Mn0.8 Ni0.8,BCC,CAST,,6.6,,539.0,,25.0,,,,,190.0,,,,10.1016/j.actamat.2013.09.037,2013
16,Co1 Cr1 Fe1 Mn1 Ni1,FCC,CAST,,8.0,,176.0,T,25.0,208.0,,62.0,,219.0,,,,10.1016/j.actamat.2013.09.037,2013
